winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser
Hantuchova D.,Loit E.,0.6643066776067296,1.7198569522790923,1.4257155083131208,1.2824161524843887,1.33,3.25
Harkleroad A.,Groenefeld A.L.,0.1514556229774712,-0.18197470886732306,1.6783421481886904,1.5684349918009646,2.2,1.61
Li N.,Dominguez Lino L.,1.8334959461431577,0.9368363644953406,1.0594436184892713,1.9204685676545123,1.11,6
Molik A.,Kanepi K.,1.9520310487505417,0.06530694065613343,1.341616387380115,1.7508060540045312,1.5,2.5
Safina D.,Fedossova Y.,3.4017585680870464,2.6159761300791438,0.9629138827236047,1.7569853007484824,1.06,8
Ivanovic A.,Radwanska A.,1.9330142219159532,1.3095921546231177,1.0866886788356578,2.1299691050692684,1.14,5
Schnyder P.,Peng S.,0.811999795094711,-0.2399500726000454,1.5986980915946518,1.5606252585766727,1.28,3.5
Sharapova M.,Rodionova A.,2.8775215371307503,1.0246934400228809,1.786823638798735,2.120236319642329,1.03,11
Kostanic J.,Stosur S.,-0.3105722888274945,2.6594782534107253,1.3701214406312368,1.0988782583403462,3.75,1.25
Williams S.,Petrova N.,2.0153706623515353,1.179492569738233,1.1715223987646077,1.379035372508563,2.5,1.5
Jankovic J.,Azarenka V.,4.9623191725139115,2.0358458819107472,0.9605942605558384,1.7664407672064215,1.08,7
Safarova L.,Yakimova A.,1.20086894673582,1.801525147304337,1.3200442597238846,1.907704187558423,1.39,2.75
Kuznetsova S.,Kirilenko M.,0.5090889463191888,0.9356926990694332,1.362557870306937,1.2687642419045644,1.12,5.5
Mauresmo A.,Birnerova E.,2.9024490994473324,0.8557831317925043,1.3412334728873259,1.3352535318336411,1.01,13
Dementieva E.,Camerin M.E.,0.9060538073682392,-0.04214735255353729,1.3394770495104589,1.080947028414573,1.14,5
Peer S.,Golovin T.,2.9943348373989007,1.689003547964853,1.0087380797044974,1.3851083601151064,1.83,1.83
Vaidisova N.,Srebotnik K.,3.629041181593972,0.8681137899600604,1.1182358979184452,0.9973577406533317,1.16,4.5
Sharapova M.,Garbin T.,3.2127431783002494,2.3778137536219734,1.672012433533048,1.1925448908118363,1.03,10
Clijsters K.,Bondarenko A.,5.691851692668476,2.0457169132876816,1.2273313201158675,1.240592671259098,1.02,11
Hingis M.,Nakamura A.,3.458348894115504,2.0458511154072654,0.9138457664981741,1.041371158632967,1.06,8
Zvonareva V.,Ivanovic A.,2.733604500853644,2.2206387261083784,0.9385023238160928,1.0500569982146841,2.25,1.57
Schnyder P.,Molik A.,1.384052658025228,2.453553080399861,1.4403240507294695,1.1158332468723016,1.39,2.75
Hantuchova D.,Harkleroad A.,1.412057739178543,1.0044867107855315,1.155384733371973,1.4402901707359574,1.39,2.75
Li N.,Safina D.,2.2209694499088783,3.572633867761559,1.010971387916655,0.9301269187118583,2.1,1.66
Chakvetadze A.,Kostanic J.,4.725973822104585,1.1601331790091938,1.2687744625588142,1.0707733794877534,1.16,4.5
Safarova L.,Mauresmo A.,1.9648706508601441,3.1119851723736778,1.2260455779700303,1.26167683871756,8.0,1.06
Peer S.,Kuznetsova S.,3.315527017857433,1.18536758558039,0.957211799896586,1.18115565878321,3.0,1.36
Vaidisova N.,Dementieva E.,3.7157763941918804,1.3721051379625222,1.089363528592272,1.2189928931317118,1.57,2.25
Williams S.,Jankovic J.,2.5043386456303156,5.153137729476804,1.0904068470845685,0.9449986834567791,2.75,1.39
Hingis M.,Li N.,3.395225441756417,2.8326144939526494,0.8314935544232351,0.9206995853012204,1.53,2.37
Clijsters K.,Hantuchova D.,5.566674519445618,1.7858808697259558,1.1743442809792415,1.055385553600822,1.03,11
Chakvetadze A.,Schnyder P.,4.832948997494396,2.3379617364218968,1.235074589960722,1.2183276393241993,1.8,1.9
Sharapova M.,Zvonareva V.,3.839902709921134,2.8956395434371367,1.4921229588356866,0.8572385613445936,1.14,5
Vaidisova N.,Safarova L.,3.7007201828653407,3.031178405267563,0.9974496482129462,1.1439123728622025,1.33,3.25
Williams S.,Peer S.,3.7020485053289107,3.1994261420878,0.9794729350411022,0.8960234411948749,1.39,2.75
Sharapova M.,Chakvetadze A.,4.4006421430550455,4.984125997596,1.3549614217607222,1.2078705252566204,1.14,5
Clijsters K.,Hingis M.,5.580037629253954,3.640558016216469,1.1574483305399423,0.793640256313756,1.16,4.5
Williams S.,Vaidisova N.,3.930064457325162,4.019655459515126,0.9131184320078181,0.9607783569607626,2.0,1.8
Sharapova M.,Clijsters K.,5.201660945837144,5.7453559534131795,1.280654564689056,1.1207642151634756,1.9,1.9
Williams S.,Sharapova M.,4.2439576041167,5.950316527312736,0.8676009033168652,1.2189076828584329,2.87,1.39
Ivanovic A.,Perry S.,1.896092579686873,-1.228634660384409,0.937007478992533,1.916124928577949,1.14,5
Pratt N.,Shaughnessy M.,1.6897097924121345,-1.8257588065269954,1.0583330388081296,1.9193150760171895,1.72,2
Bremond S.,Bartoli M.,-0.7341747825922876,-0.9701426176708005,1.1964462390854076,1.2197547824203094,3.25,1.28
Vinci R.,Hantuchova D.,-1.969237568245579,1.722359817288855,1.7793702152828272,1.0213769272537292,4.0,1.19
Li N.,Osterloh L.,2.5119221159571112,-0.6827373020925391,0.8352449898565671,2.127836784339412,1.1,6
Schiavone F.,Takao E.,0.013012139448061797,0.0,1.565089130591429,2.5,1.14,5
Zheng J.,Mattek B.,0.2387212479852672,0.0,1.282457742947011,2.5,1.39,2.75
Santangelo M.,Nakamura A.,0.5800263880418052,1.7412489257325425,1.3895116316069227,0.9798388595550235,2.2,1.61
Likhovtseva E.,Dulko G.,-3.0165609182466846,0.013746001518455566,1.6847726653626427,1.233306494804993,1.8,1.9
Stosur S.,Zvonareva V.,1.6469852396076134,2.7689476003017788,0.9395569002036214,0.8277286188845249,3.0,1.33
Kirilenko M.,Peer S.,0.17687248078369602,2.99486086139363,1.1283428675746219,0.8306862805192365,3.5,1.25
Sugiyama A.,Vesnina E.,-1.5710795797878272,0.4002274593358453,1.3715938644696282,0.8866417585087285,1.66,2.1
Hingis M.,Pratt N.,3.541912055678396,1.7231793708245469,0.7485941175641874,1.028227414502089,1.04,9
Jankovic J.,Zheng J.,4.448373470126413,0.5976066473076815,0.7889154956142943,1.2155564112900856,1.19,4
Vinci R.,Bremond S.,0.22755021642046583,-0.21481842292636216,1.1420874087992885,1.0666559892796645,1.83,1.83
