date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-16,1.0860867263753127,0.11491019971888974,-0.11491019971888974,Ferguson S.,2.62,0.5,-0.095679012345679
2007-01-16,0.9133002017246947,0.17278652465061792,-0.17278652465061792,Zakopalova K.,3.75,0.5,-0.15909090909090906
2007-01-16,0.9361327067678121,0.02075682276647035,0.022832505043117388,Kudryavtseva A.,2.1,0.5,0.025000000000000133
2007-01-16,0.8061142752722826,0.13001843149552947,-0.13001843149552947,Lepchenko V.,3.25,0.5,-0.13888888888888895
2007-01-16,0.9068785596813179,0.06717618960602355,0.10076428440903532,Nakamura A.,2.5,0.5,0.125
2007-01-16,1.076918289621565,0.09716555996585549,0.1700397299402471,Voracova R.,2.75,0.5,0.1875
2007-01-16,1.0230723751404867,0.053845914481078255,-0.053845914481078255,Pratt N.,2.25,0.5,-0.050000000000000044
2007-01-16,0.8809789897043079,0.14209338543617872,-0.14209338543617872,Cohen Aloro S.,3.25,0.5,-0.13888888888888895
2007-01-16,0.7708566159912694,0.11012237371303848,-0.11012237371303848,Gagliardi E.,3.0,0.5,-0.125
2007-01-16,0.5942019748266035,0.1766546411646659,-0.1766546411646659,Bardina V.,13.0,0.5,-0.22916666666666663
2007-01-16,0.6090570241972686,0.013504590336968273,0.014855049370665101,Morigami A.,2.1,0.5,0.02499999999999991
2007-01-16,0.49062926949224417,0.11842775470502445,-0.11842775470502445,Dechy N.,5.5,0.5,-0.19444444444444442
2007-01-16,0.5028950012295503,0.011150665215732831,0.012265731737306116,Kanepi K.,2.1,0.5,0.025000000000000133
2007-01-16,0.44901339395495565,0.05388160727459468,-0.05388160727459468,Chan Y.J.,2.75,0.5,-0.1071428571428571
2007-01-17,0.36482338258840147,0.08419001136655418,-0.08419001136655418,Klepac A.,5.0,0.5,-0.1875
2007-01-17,0.28273812150601113,0.08208526108239034,-0.08208526108239034,Brengle M.,11.0,0.5,-0.22499999999999998
2007-01-17,0.22776126454650897,0.05497685695950216,-0.05497685695950216,Obziler T.,5.5,0.5,-0.19444444444444442
2007-01-17,0.1795809970462859,0.04818026750022305,-0.04818026750022305,Bychkova E.,7.5,0.5,-0.21153846153846156
2007-01-17,0.24198539351987028,0.026110626139575044,0.06240439647358436,Fedossova Y.,3.39,0.5,0.34750000000000014
